  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30 140 -72.5 221.93 13.83 13.8 24.36 21.1 7.173E-06  25.80  16.5  18.40  22.1 1.462E-10  28.64  16.3  13.86  22.8
  30 145 -72.5 226.90 15.77 14.0 25.06 21.1 5.054E-06  21.99  16.3  19.94  22.0 9.755E-11  26.31  16.3  15.71  22.4
  30 150 -72.5 230.86 17.27 14.1 25.69 21.1 3.608E-06  17.32  16.2  20.77  21.8 6.617E-11  24.24  16.2  17.53  22.3
  30 155 -72.5 233.37 18.44 14.2 26.12 21.1 2.639E-06  17.32  16.2  20.77  21.8 4.614E-11  21.84  16.1  19.04  22.1
  30 160 -72.5 235.47 19.40 14.2 26.60 21.1 1.948E-06  11.64  15.9  20.87  21.7 3.252E-11  19.13  16.0  20.11  22.1
  30 165 -72.5 236.96 20.05 14.2 26.89 21.1 1.458E-06  11.64  15.9  20.87  21.7 2.326E-11  16.36  15.9  21.19  22.0
  30 170 -72.5 238.04 20.54 14.2 27.18 21.1 1.108E-06   7.77  11.2  20.23  21.7 1.692E-11  13.14  15.6  21.65  22.0
  30 175 -72.5 238.92 20.91 14.2 27.38 21.1 8.476E-07   7.77  11.2  20.23  21.7 1.240E-11   9.90  15.1  21.97  22.0
  30 180 -72.5 239.50 21.13 14.2 27.55 21.1 6.600E-07   8.69  23.6  19.13  21.7 9.284E-12   7.13  13.6  21.80  22.0
  30 185 -72.5 240.02 21.32 14.2 27.68 21.1 5.159E-07   8.69  23.6  19.13  21.7 6.981E-12   6.31  12.4  21.46  22.0
  30 190 -72.5 240.36 21.41 14.2 27.80 21.1 4.096E-07  13.80  26.3  18.09  21.7 5.339E-12   6.88  24.9  20.98  22.0
  30 195 -72.5 240.66 21.50 14.2 27.88 21.0 3.264E-07  13.80  26.3  18.09  21.7 4.102E-12   9.56  26.5  20.20  22.1
  30 200 -72.5 240.89 21.53 14.2 27.96 21.0 2.629E-07  22.49  27.0  17.76  21.8 3.193E-12  13.57  27.1  19.21  22.1
  30 205 -72.5 241.06 21.57 14.2 28.02 21.0 2.132E-07  22.49  27.0  17.76  21.8 2.509E-12  17.92  27.2  18.35  22.2
  30 210 -72.5 241.22 21.58 14.2 28.07 21.0 1.734E-07  31.12  27.1  18.67  22.0 1.979E-12  22.35  27.3  17.35  22.3
  30 215 -72.5 241.32 21.58 14.2 28.11 21.0 1.428E-07  31.12  27.1  18.67  22.0 1.583E-12  26.48  27.3  16.44  22.5
  30 220 -72.5 241.41 21.58 14.2 28.15 21.0 1.175E-07  31.12  27.1  18.67  22.0 1.266E-12  30.53  27.3  16.19  22.7
  30 225 -72.5 241.49 21.58 14.2 28.18 21.0 9.755E-08  38.79  27.1  21.10  22.0 1.029E-12  34.11  27.2  15.76  22.9
  30 230 -72.5 241.54 21.58 14.2 28.21 21.0 8.133E-08  38.79  27.1  21.10  22.0 8.441E-13  37.05  27.2  15.56  11.2
  30 235 -72.5 241.59 21.57 14.2 28.23 21.0 6.781E-08  38.79  27.1  21.10  22.0 6.923E-13  39.78  27.2  15.78  11.3
  30 240 -72.5 241.62 21.57 14.2 28.23 21.0 5.706E-08  38.79  27.1  21.10  22.0 5.744E-13  39.78  27.2  15.78  11.3
  30  80 -67.5 123.43  5.39 17.5  4.40 15.3 1.003E-02  21.59  15.3   5.94  15.8 4.229E-07  16.40  15.1   2.96  16.1
  30  85 -67.5 120.86  3.23 17.5  6.17 15.3 4.753E-03  23.63  15.3   7.72  15.9 2.039E-07  20.84  15.1   5.06  16.1
  30  90 -67.5 120.60  5.61 20.3  7.06 14.5 2.245E-03  25.07  15.5  12.80  15.6 9.626E-08  22.89  15.0   9.36  16.2
  30  95 -67.5 121.87 10.22 20.1  8.79 13.0 1.066E-03  25.39  15.7  15.54  15.4 4.532E-08  22.95  15.4  15.30  16.0
  30 100 -67.5 124.48 10.72 19.0 15.00 11.3 5.126E-04  28.21  16.6  19.38  14.6 2.144E-08  25.82  16.4  22.15  15.6
  30 105 -67.5 130.22  8.59 17.9 23.76 22.2 2.521E-04  30.11  16.9  19.86  14.0 1.017E-08  31.19  16.5  25.80  14.9
  30 110 -67.5 141.99  7.49 17.9 29.74 21.5 1.291E-04  31.18  17.1  19.41  13.1 4.799E-09  32.56  16.3  24.41  14.1
  30 115 -67.5 158.73  9.91 18.6 31.68 21.2 7.071E-05  31.99  17.4  22.96  11.3 2.335E-09  29.90  16.4  21.04  13.1
  30 120 -67.5 175.68 13.60 17.8 31.99 21.0 4.162E-05  32.55  17.4  27.02  22.8 1.220E-09  27.84  16.7  20.57  12.1
  30 125 -67.5 190.20 17.36 17.0 32.06 21.0 2.579E-05  33.10  17.4  31.18  22.4 6.828E-10  27.54  17.0  22.94  11.4
  30 130 -67.5 201.64 20.77 16.5 32.26 21.0 1.664E-05  33.10  17.4  31.18  22.4 4.048E-10  28.17  17.2  26.36  22.9
  30 135 -67.5 210.07 23.69 16.1 32.50 21.0 1.111E-05  33.48  17.4  35.04  22.2 2.516E-10  28.87  17.3  29.75  22.6
  30 140 -67.5 216.50 26.08 15.8 32.71 21.0 7.580E-06  33.27  17.3  38.24  22.0 1.612E-10  29.56  17.4  32.97  22.4
  30 145 -67.5 221.48 27.90 15.6 33.05 21.1 5.268E-06  32.14  17.2  40.57  21.9 1.057E-10  30.14  17.5  35.82  22.2
  30 150 -67.5 225.25 29.18 15.5 33.34 21.1 3.721E-06  32.14  17.2  40.57  21.9 7.073E-11  30.36  17.5  38.46  22.1
  30 155 -67.5 227.73 30.21 15.4 33.54 21.1 2.688E-06  29.63  17.1  41.72  21.8 4.856E-11  29.78  17.5  40.34  22.0
  30 160 -67.5 229.75 30.94 15.3 33.80 21.1 1.962E-06  25.53  17.1  41.68  21.7 3.375E-11  28.85  17.6  41.79  22.0
  30 165 -67.5 231.17 31.39 15.2 33.92 21.1 1.453E-06  25.53  17.1  41.68  21.7 2.383E-11  27.30  17.6  42.89  21.9
  30 170 -67.5 232.17 31.74 15.2 34.05 21.1 1.094E-06  19.87  17.4  40.55  21.6 1.715E-11  25.08  17.7  43.19  21.9
  30 175 -67.5 233.01 31.94 15.2 34.12 21.1 8.290E-07  19.87  17.4  40.55  21.6 1.243E-11  22.46  17.9  43.26  21.8
  30 180 -67.5 233.53 32.07 15.1 34.18 21.1 6.403E-07  13.51  18.5  38.91  21.5 9.216E-12  19.26  18.2  42.51  21.8
  30 185 -67.5 234.01 32.15 15.1 34.22 21.1 4.955E-07  13.51  18.5  38.91  21.5 6.850E-12  16.10  18.8  41.85  21.8
  30 190 -67.5 234.30 32.18 15.1 34.25 21.1 3.907E-07  11.00  21.8  37.37  21.5 5.202E-12  13.42  20.1  40.64  21.7
  30 195 -67.5 234.58 32.21 15.1 34.27 21.1 3.083E-07  11.00  21.8  37.37  21.5 3.954E-12  12.62  22.3  39.57  21.7
