  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30  95 -62.5 125.43  3.96 24.2  9.12 11.5 1.694E-03  23.53  15.2  16.79  15.1 7.049E-08  24.22  15.0  18.14  15.4
  30 100 -62.5 126.09  4.55 25.0 12.66 22.8 8.245E-04  21.22  15.6  17.01  14.2 3.431E-08  23.56  15.1  18.17  15.0
  30 105 -62.5 126.85  7.66 26.3 15.79 22.6 4.042E-04  20.12  15.9  16.83  13.6 1.678E-08  23.30  15.1  17.39  14.5
  30 110 -62.5 129.16 10.76 25.2 18.19 22.0 1.998E-04  17.90  16.2  17.89  13.0 8.180E-09  20.12  14.6  18.70  13.6
  30 115 -62.5 137.74  9.43 24.2 22.70 21.5 1.024E-04  14.04  18.4  24.15  11.7 3.938E-09  13.20  15.4  20.72  12.9
  30 120 -62.5 150.95  4.19 23.3 26.14 21.3 5.557E-05  14.59  19.5  28.57  11.2 1.933E-09  11.76  18.5  23.81  12.0
  30 125 -62.5 165.21  3.90 12.5 26.81 21.1 3.210E-05  15.00  19.9  33.31  22.8 1.004E-09  16.41  19.9  29.85  11.2
  30 130 -62.5 177.75  8.73 12.4 26.52 21.1 1.953E-05  14.37  19.9  37.86  22.5 5.564E-10  20.20  20.3  36.34  22.8
  30 135 -62.5 187.71 13.09 12.3 26.31 21.1 1.235E-05  12.82  19.6  41.96  22.3 3.258E-10  22.58  20.4  41.88  22.5
  30 140 -62.5 195.27 16.60 12.2 26.37 21.1 8.045E-06  10.66  19.0  45.19  22.1 1.990E-10  23.78  20.4  46.35  22.3
  30 145 -62.5 200.93 19.19 12.2 26.57 21.1 5.360E-06   8.45  18.0  47.52  22.0 1.255E-10  23.87  20.3  49.89  22.1
